Variable,Estimate,Std..Error,t.value,Pr...t..,Significance,From,To
IdahotoNebraska,0.806402967,0.304153552,2.651302153,0.008018726,*,Idaho,Nebraska
IdahotoNevada,0.054941407,0.205234749,0.267700315,0.788930234,,Idaho,Nevada
IdahotoNew Hampshire,1.785643211,0.679496438,2.627891938,0.008592119,*,Idaho,New Hampshire
IdahotoNew Jersey,0.97146274,0.372467721,2.60817968,0.009103071,*,Idaho,New Jersey
IdahotoNew Mexico,-0.109018272,0.202282777,-0.53893996,0.589928776,,Idaho,New Mexico
IdahotoNew York,1.216770179,0.294653713,4.129492096,3.64E-05,*,Idaho,New York
IdahotoNorth Carolina,1.159262627,0.277849711,4.172265008,3.02E-05,*,Idaho,North Carolina
IdahotoNorth Dakota,0.602814469,0.251284743,2.398929846,0.016443811,*,Idaho,North Dakota
IdahotoOhio,0.815331348,0.304247854,2.679826129,0.007366536,*,Idaho,Ohio
IdahotoOklahoma,0.639817904,0.263540105,2.427781922,0.015192194,*,Idaho,Oklahoma
IdahotoOregon,0.387754263,0.110456841,3.51045947,0.000447414,*,Idaho,Oregon
IdahotoPennsylvania,0.525712591,0.314933675,1.669280337,0.095063119,,Idaho,Pennsylvania
IdahotoRhode Island,0.534413187,0.832112456,0.642236736,0.520720088,,Idaho,Rhode Island
IdahotoSouth Carolina,1.289493193,0.314915724,4.094724702,4.23E-05,*,Idaho,South Carolina
IdahotoSouth Dakota,1.101530734,0.444932935,2.475723073,0.013297341,*,Idaho,South Dakota
IdahotoTennessee,0.764911996,0.2572811,2.973059411,0.002948762,*,Idaho,Tennessee
IdahotoTexas,0.723629085,0.130104121,5.561922863,2.67E-08,*,Idaho,Texas
IdahotoUtah,0.006934742,0.105990387,0.065428024,0.947833265,,Idaho,Utah
IdahotoVermont,1.587389834,0.832110353,1.907667448,0.056435386,,Idaho,Vermont
IdahotoVirginia,0.682815598,0.304269149,2.244117091,0.024825762,*,Idaho,Virginia
IdahotoWashington,0.277650024,0.091132566,3.046660888,0.002314233,*,Idaho,Washington
IdahotoWest Virginia,0.593439262,0.44500615,1.333552946,0.182351659,,Idaho,West Virginia
IdahotoWisconsin,0.479414977,0.31485605,1.522648133,0.127848058,,Idaho,Wisconsin
IdahotoWyoming,-0.101089974,0.186463571,-0.542143291,0.587720294,,Idaho,Wyoming
IllinoistoAlabama,-0.217007908,0.128331531,-1.690994463,0.090839139,,Illinois,Alabama
IllinoistoArizona,0.83191606,0.115462132,7.205098717,5.82E-13,*,Illinois,Arizona
IllinoistoArkansas,0.000868788,0.127542241,0.006811765,0.994565045,,Illinois,Arkansas
IllinoistoCalifornia,0.639227457,0.084801385,7.537936544,4.79E-14,*,Illinois,California
IllinoistoColorado,0.668913644,0.101658598,6.580000705,4.71E-11,*,Illinois,Colorado
IllinoistoConnecticut,-0.252673376,0.22694644,-1.113361265,0.265554402,,Illinois,Connecticut
IllinoistoDelaware,0.026655643,0.326640288,0.081605497,0.934960497,,Illinois,Delaware
IllinoistoDistrict of Columbia,0.201711508,0.392456839,0.513971189,0.6072726,,Illinois,District of Columbia
IllinoistoFlorida,0.552395515,0.064815574,8.522573779,1.57E-17,*,Illinois,Florida
IllinoistoGeorgia,0.312885012,0.09643349,3.244567979,0.001176448,*,Illinois,Georgia
IllinoistoIdaho,0.279375561,0.263579585,1.059928679,0.289178098,,Illinois,Idaho
IllinoistoIllinois,-0.357289461,0.025403244,-14.06471768,6.52E-45,*,Illinois,Illinois
IllinoistoIndiana,-0.598727433,0.060709588,-9.86215613,6.13E-23,*,Illinois,Indiana
IllinoistoIowa,-0.455906464,0.064733781,-7.04279055,1.89E-12,*,Illinois,Iowa
IllinoistoKansas,-0.087016481,0.120204708,-0.723902435,0.46912633,,Illinois,Kansas
IllinoistoKentucky,-0.308930193,0.089832329,-3.438964539,0.000584041,*,Illinois,Kentucky
IllinoistoLouisiana,0.554027559,0.199375888,2.778809231,0.005456273,*,Illinois,Louisiana
IllinoistoMaine,0.402369292,0.314826569,1.278066503,0.201227196,,Illinois,Maine
IllinoistoMaryland,-0.073016155,0.159326279,-0.458280676,0.646751214,,Illinois,Maryland
IllinoistoMassachusetts,0.024224358,0.172333241,0.14056695,0.888212175,,Illinois,Massachusetts
IllinoistoMichigan,-0.680722948,0.071847806,-9.474512619,2.70E-21,*,Illinois,Michigan
IllinoistoMinnesota,-0.566139305,0.08893029,-6.36610209,1.94E-10,*,Illinois,Minnesota
IllinoistoMississippi,0.028300146,0.130658193,0.216596796,0.828522764,,Illinois,Mississippi
IllinoistoMissouri,-0.437472521,0.056227626,-7.780383947,7.26E-15,*,Illinois,Missouri
IllinoistoMontana,0.662499066,0.191529929,3.458984547,0.000542309,*,Illinois,Montana
IllinoistoNebraska,-0.314469652,0.157798296,-1.992858346,0.046278074,*,Illinois,Nebraska
IllinoistoNevada,0.964369308,0.219126868,4.400963312,1.08E-05,*,Illinois,Nevada
IllinoistoNew Hampshire,0.426575452,0.372365061,1.145583988,0.25196845,,Illinois,New Hampshire
IllinoistoNew Jersey,-0.280729804,0.178019488,-1.57696108,0.114805778,,Illinois,New Jersey
IllinoistoNew Mexico,0.57156059,0.231239234,2.471728432,0.013446839,*,Illinois,New Mexico
IllinoistoNew York,-0.348393269,0.112190267,-3.105378725,0.001900573,*,Illinois,New York
IllinoistoNorth Carolina,0.15823081,0.094969625,1.66612019,0.095690763,,Illinois,North Carolina
IllinoistoNorth Dakota,-0.290472084,0.240596013,-1.20730215,0.227316975,,Illinois,North Dakota
IllinoistoOhio,-0.498668356,0.085079748,-5.861187489,4.60E-09,*,Illinois,Ohio
IllinoistoOklahoma,0.015469108,0.140304679,0.110253686,0.912208278,,Illinois,Oklahoma
IllinoistoOregon,0.954672601,0.15285288,6.245695853,4.23E-10,*,Illinois,Oregon
IllinoistoPennsylvania,-0.103172109,0.117953572,-0.87468406,0.381746697,,Illinois,Pennsylvania
IllinoistoRhode Island,0.117653043,0.31481196,0.37372482,0.708609383,,Illinois,Rhode Island
IllinoistoSouth Carolina,0.089684925,0.11109648,0.807270626,0.419511371,,Illinois,South Carolina
IllinoistoSouth Dakota,0.283568207,0.205303669,1.381213534,0.167214581,,Illinois,South Dakota
IllinoistoTennessee,-0.002361643,0.084013464,-0.028110288,0.977574212,,Illinois,Tennessee
IllinoistoTexas,0.428216699,0.069967049,6.120262417,9.36E-10,*,Illinois,Texas
IllinoistoUtah,0.375334811,0.199515111,1.881235003,0.059941149,,Illinois,Utah
IllinoistoVermont,0.06150633,0.326671665,0.188281803,0.850655906,,Illinois,Vermont
IllinoistoVirginia,0.300743983,0.104977637,2.864838565,0.004172575,*,Illinois,Virginia
IllinoistoWashington,1.094067063,0.135175715,8.093665815,5.82E-16,*,Illinois,Washington
IllinoistoWest Virginia,0.134913242,0.24570175,0.549093535,0.582941765,,Illinois,West Virginia
IllinoistoWisconsin,-0.89822626,0.054660324,-16.43287482,1.20E-60,*,Illinois,Wisconsin
IllinoistoWyoming,-0.393482413,0.245793526,-1.600865648,0.109407975,,Illinois,Wyoming
IndianatoAlabama,0.202921884,0.150003295,1.352782844,0.17612627,,Indiana,Alabama
IndianatoArizona,1.083073535,0.156731442,6.910378149,4.85E-12,*,Indiana,Arizona
IndianatoArkansas,-0.031295166,0.199322934,-0.157007353,0.875239183,,Indiana,Arkansas
IndianatoCalifornia,0.369656469,0.093273697,3.963137314,7.40E-05,*,Indiana,California
IndianatoColorado,0.574015845,0.13084461,4.387004137,1.15E-05,*,Indiana,Colorado
IndianatoConnecticut,-0.200777331,0.304142318,-0.660142699,0.509162883,,Indiana,Connecticut
IndianatoDelaware,-1.01485976,0.526345609,-1.928124303,0.053840827,,Indiana,Delaware
IndianatoDistrict of Columbia,-0.30350309,0.355021844,-0.854885679,0.392615279,,Indiana,District of Columbia
IndianatoFlorida,0.358771713,0.066881399,5.364297345,8.13E-08,*,Indiana,Florida
IndianatoGeorgia,-0.184523265,0.118402248,-1.558443936,0.119129347,,Indiana,Georgia
IndianatoIdaho,1.039217333,0.392521394,2.64754316,0.008108423,*,Indiana,Idaho
IndianatoIllinois,-0.794100739,0.066334407,-11.97117413,5.14E-33,*,Indiana,Illinois
IndianatoIndiana,-0.390362013,0.025563332,-15.27038882,1.27E-52,*,Indiana,Indiana
IndianatoIowa,-0.781822346,0.107772081,-7.254405227,4.05E-13,*,Indiana,Iowa
IndianatoKansas,-0.130961209,0.162209569,-0.807358096,0.41946099,,Indiana,Kansas
IndianatoKentucky,-0.695015964,0.070668029,-9.834942025,8.04E-23,*,Indiana,Kentucky
IndianatoLouisiana,-0.140435381,0.21892108,-0.641488619,0.521205876,,Indiana,Louisiana
IndianatoMaine,-0.189440505,0.372354952,-0.508763221,0.610918663,,Indiana,Maine
IndianatoMaryland,-0.305359727,0.191375773,-1.595602842,0.110578789,,Indiana,Maryland
IndianatoMassachusetts,-0.157358732,0.18218172,-0.863745999,0.387728288,,Indiana,Massachusetts
IndianatoMichigan,-0.89684669,0.066730405,-13.43985085,3.65E-41,*,Indiana,Michigan
IndianatoMinnesota,-0.481630051,0.136537608,-3.527453412,0.000419655,*,Indiana,Minnesota
IndianatoMississippi,0.135029905,0.215219392,0.62740585,0.530393822,,Indiana,Mississippi
IndianatoMissouri,-0.01963056,0.116656243,-0.168276979,0.866365523,,Indiana,Missouri
IndianatoMontana,0.654286221,0.277794466,2.355288898,0.018509098,*,Indiana,Montana
IndianatoNebraska,-0.15050237,0.215258444,-0.699170575,0.484446104,,Indiana,Nebraska
IndianatoNevada,0.529683201,0.257305455,2.058577428,0.039535797,*,Indiana,Nevada
IndianatoNew Hampshire,0.187813165,0.339955524,0.55246393,0.580631047,,Indiana,New Hampshire
IndianatoNew Jersey,-0.434825437,0.231204907,-1.880692944,0.060014891,,Indiana,New Jersey
IndianatoNew Mexico,1.414958571,0.372374235,3.799829416,0.000144831,*,Indiana,New Mexico
IndianatoNew York,-0.244892837,0.136616466,-1.792557262,0.073044985,,Indiana,New York
IndianatoNorth Carolina,-0.059189982,0.107386239,-0.551187777,0.581505463,,Indiana,North Carolina
IndianatoNorth Dakota,-0.287393505,0.314795377,-0.912953384,0.361267962,,Indiana,North Dakota
IndianatoOhio,-0.86082964,0.066447186,-12.95509556,2.26E-38,*,Indiana,Ohio
IndianatoOklahoma,0.282673152,0.174042189,1.624164544,0.104341989,,Indiana,Oklahoma
IndianatoOregon,0.921863636,0.212020273,4.347997582,1.37E-05,*,Indiana,Oregon
IndianatoPennsylvania,-0.400805253,0.118457168,-3.383545801,0.000715675,*,Indiana,Pennsylvania
IndianatoRhode Island,-0.620427069,0.526373753,-1.178681621,0.238526127,,Indiana,Rhode Island
IndianatoSouth Carolina,0.179307947,0.137442806,1.304600451,0.192030166,,Indiana,South Carolina
IndianatoSouth Dakota,0.289912685,0.294488104,0.984463145,0.324888821,,Indiana,South Dakota
IndianatoTennessee,-0.312580905,0.091911996,-3.400871702,0.000671821,*,Indiana,Tennessee
IndianatoTexas,0.38172007,0.084725257,4.505386969,6.63E-06,*,Indiana,Texas
IndianatoUtah,0.658750838,0.205450737,3.206368825,0.001344389,*,Indiana,Utah
IndianatoVermont,-1.09390667,0.526360294,-2.078246941,0.037687664,*,Indiana,Vermont
IndianatoVirginia,0.09219826,0.134761725,0.684157607,0.493876299,,Indiana,Virginia
IndianatoWashington,0.682557754,0.176252894,3.872604523,0.000107707,*,Indiana,Washington
IndianatoWest Virginia,0.092162189,0.235655147,0.391089225,0.695731627,,Indiana,West Virginia
IndianatoWisconsin,-1.052727942,0.099885569,-10.53933966,5.76E-26,*,Indiana,Wisconsin
IndianatoWyoming,0.4011974,0.314829355,1.274332882,0.202546683,,Indiana,Wyoming
IowatoAlabama,0.722428154,0.257124825,2.809639845,0.004960092,*,Iowa,Alabama
IowatoArizona,0.725924683,0.154032365,4.712806176,2.44E-06,*,Iowa,Arizona
IowatoArkansas,0.272516925,0.231109666,1.179167147,0.238332776,,Iowa,Arkansas
IowatoCalifornia,0.454407366,0.132652008,3.425559641,0.000613635,*,Iowa,California
IowatoColorado,0.404147094,0.131520119,3.072891791,0.002120187,*,Iowa,Colorado
IowatoConnecticut,0.508086474,0.58847433,0.863396155,0.387920542,,Iowa,Connecticut
IowatoDelaware,-0.604446394,0.588457487,-1.027170878,0.304341028,,Iowa,Delaware
IowatoDistrict of Columbia,-0.084064177,0.44494312,-0.188932412,0.850145947,,Iowa,District of Columbia
IowatoFlorida,0.786318395,0.114793903,6.849827154,7.41E-12,*,Iowa,Florida
IowatoGeorgia,0.641918623,0.16536887,3.881737987,0.00010374,*,Iowa,Georgia
IowatoIdaho,1.205074856,0.444968636,2.708224264,0.006764901,*,Iowa,Idaho
IowatoIllinois,-0.645970116,0.083098503,-7.773546978,7.66E-15,*,Iowa,Illinois
IowatoIndiana,0.198341472,0.177857459,1.115170953,0.26477827,,Iowa,Indiana
IowatoIowa,-0.37927009,0.026459844,-14.33379894,1.41E-46,*,Iowa,Iowa
IowatoKansas,-0.429748781,0.113912107,-3.772634827,0.000161571,*,Iowa,Kansas
IowatoKentucky,0.621274801,0.240531713,2.582922617,0.009797306,*,Iowa,Kentucky
IowatoLouisiana,-0.174408319,0.251233859,-0.694207063,0.487553025,,Iowa,Louisiana
IowatoMaine,0.976040407,0.444975782,2.193468604,0.028274575,*,Iowa,Maine
IowatoMaryland,-0.05113691,0.314807166,-0.162438836,0.870960425,,Iowa,Maryland
IowatoMassachusetts,0.046155411,0.257246362,0.179421045,0.857607257,,Iowa,Massachusetts
IowatoMichigan,-0.349939362,0.168609092,-2.07544776,0.037946102,*,Iowa,Michigan
IowatoMinnesota,-0.822078315,0.072926204,-11.2727425,1.82E-29,*,Iowa,Minnesota
IowatoMississippi,0.287763922,0.326603455,0.881080459,0.378275142,,Iowa,Mississippi
IowatoMissouri,-0.392994109,0.080822863,-4.862412649,1.16E-06,*,Iowa,Missouri
IowatoMontana,0.884548365,0.285780316,3.095203952,0.001966999,*,Iowa,Montana
IowatoNebraska,-0.556658669,0.084529965,-6.585341315,4.55E-11,*,Iowa,Nebraska
IowatoNevada,1.463124699,0.294583938,4.966749741,6.81E-07,*,Iowa,Nevada
IowatoNew Hampshire,0.000425146,0.480565651,0.000884678,0.99929413,,Iowa,New Hampshire
IowatoNew Jersey,0.173088691,0.339986321,0.509104868,0.610679181,,Iowa,New Jersey
IowatoNew Mexico,0.611757834,0.326642398,1.872867203,0.061087921,,Iowa,New Mexico
IowatoNew York,-0.272062825,0.163870785,-1.660227754,0.09686993,,Iowa,New York
IowatoNorth Carolina,0.692137602,0.193990569,3.567893037,0.000359932,*,Iowa,North Carolina
IowatoNorth Dakota,0.187128802,0.205264749,0.911646072,0.361955963,,Iowa,North Dakota
IowatoOhio,0.118840891,0.188908246,0.629093191,0.529288637,,Iowa,Ohio
IowatoOklahoma,-0.136176431,0.184219456,-0.739207652,0.459781627,,Iowa,Oklahoma
IowatoOregon,1.052549277,0.31488997,3.342593848,0.000830118,*,Iowa,Oregon
IowatoPennsylvania,0.380544946,0.235784037,1.613955511,0.106538371,,Iowa,Pennsylvania
IowatoRhode Island,2.034083788,0.679447486,2.993732159,0.002756154,*,Iowa,Rhode Island
IowatoSouth Carolina,0.802930121,0.29450888,2.726335859,0.006404637,*,Iowa,South Carolina
IowatoSouth Dakota,0.033307427,0.10557678,0.315480606,0.752397044,,Iowa,South Dakota
IowatoTennessee,0.271039134,0.235700709,1.149929231,0.250174149,,Iowa,Tennessee
IowatoTexas,0.315702526,0.113119153,2.790884822,0.005256826,*,Iowa,Texas
IowatoUtah,0.621632275,0.251320677,2.473462524,0.01338176,*,Iowa,Utah
IowatoVermont,0.262320797,0.526385361,0.498343639,0.618242304,,Iowa,Vermont
IowatoVirginia,0.843657952,0.208520981,4.045913982,5.21E-05,*,Iowa,Virginia
IowatoWashington,0.520939704,0.202465506,2.57298003,0.010083288,*,Iowa,Washington
IowatoWest Virginia,0.4545196,0.372325473,1.220758805,0.222178536,,Iowa,West Virginia
IowatoWisconsin,-0.766276797,0.087848935,-8.722664576,2.73E-18,*,Iowa,Wisconsin
IowatoWyoming,0.57652791,0.339943804,1.695950636,0.089896506,,Iowa,Wyoming
KansastoAlabama,-0.015585082,0.196597544,-0.07927404,0.936814719,,Kansas,Alabama
KansastoArizona,0.700996611,0.155264314,4.514859807,6.34E-06,*,Kansas,Arizona
KansastoArkansas,0.026891839,0.188813074,0.142425725,0.886743861,,Kansas,Arkansas
KansastoCalifornia,0.562323449,0.130202271,4.318845169,1.57E-05,*,Kansas,California
KansastoColorado,0.537139384,0.102495911,5.240593313,1.60E-07,*,Kansas,Colorado
KansastoConnecticut,0.31062582,0.588488971,0.527836263,0.597613466,,Kansas,Connecticut
KansastoDelaware,2.432434753,1.176628291,2.067292425,0.038707661,*,Kansas,Delaware
KansastoDistrict of Columbia,-0.879485142,0.679444133,-1.294418627,0.195522086,,Kansas,District of Columbia
KansastoFlorida,0.4382107,0.130839726,3.349217505,0.000810524,*,Kansas,Florida
KansastoGeorgia,0.880263563,0.159313162,5.525366214,3.29E-08,*,Kansas,Georgia
KansastoIdaho,0.589895522,0.372355598,1.584226277,0.113143533,,Kansas,Idaho
KansastoIllinois,0.053238288,0.16216905,0.328288832,0.74269357,,Kansas,Illinois
KansastoIndiana,0.03310887,0.175942692,0.188179852,0.850735823,,Kansas,Indiana
KansastoIowa,-0.288573261,0.129754649,-2.223991684,0.026149916,*,Kansas,Iowa
KansastoKansas,-0.05781828,0.029472676,-1.961758735,0.049791716,*,Kansas,Kansas
KansastoKentucky,-0.033448742,0.153815657,-0.217459928,0.827850115,,Kansas,Kentucky
KansastoLouisiana,-0.061239691,0.21889254,-0.27977057,0.779653769,,Kansas,Louisiana
KansastoMaine,0.420317919,0.832085055,0.505138167,0.613462253,,Kansas,Maine
KansastoMaryland,0.568634283,0.304182616,1.869384555,0.06157053,,Kansas,Maryland
KansastoMassachusetts,0.749075905,0.314871176,2.378991672,0.017360833,*,Kansas,Massachusetts
KansastoMichigan,0.282455022,0.196611393,1.436615739,0.150828492,,Kansas,Michigan
KansastoMinnesota,-0.426840189,0.191314604,-2.231090465,0.025676043,*,Kansas,Minnesota
KansastoMississippi,0.602208174,0.31473471,1.913383412,0.055700157,,Kansas,Mississippi
KansastoMissouri,-0.527045065,0.06612079,-7.970943298,1.58E-15,*,Kansas,Missouri
KansastoMontana,1.063853685,0.304163395,3.497638775,0.00046948,*,Kansas,Montana
KansastoNebraska,-0.298288517,0.104752425,-2.847557162,0.004405986,*,Kansas,Nebraska
KansastoNevada,0.396296849,0.294575237,1.345316236,0.178524384,,Kansas,Nevada
KansastoNew Hampshire,0.97512088,0.526404582,1.852417158,0.063967151,,Kansas,New Hampshire
KansastoNew Jersey,0.563942593,0.3041911,1.85390892,0.063753399,,Kansas,New Jersey
KansastoNew Mexico,-0.520262793,0.2856727,-1.821184848,0.068579988,,Kansas,New Mexico
KansastoNew York,0.360208345,0.176099334,2.045483855,0.040808251,*,Kansas,New York
KansastoNorth Carolina,0.86751762,0.180060121,4.817933116,1.45E-06,*,Kansas,North Carolina
KansastoNorth Dakota,-0.217061721,0.222793345,-0.97427381,0.329921572,,Kansas,North Dakota
KansastoOhio,0.108163626,0.180003293,0.60089804,0.547908458,,Kansas,Ohio
KansastoOklahoma,-0.604856852,0.078726093,-7.683054407,1.56E-14,*,Kansas,Oklahoma
KansastoOregon,1.407216299,0.19676817,7.151646016,8.60E-13,*,Kansas,Oregon
KansastoPennsylvania,0.284052595,0.19148698,1.483404221,0.137968339,,Kansas,Pennsylvania
KansastoRhode Island,0.739961677,1.176625634,0.628884545,0.529425234,,Kansas,Rhode Island
KansastoSouth Carolina,0.43570353,0.24062298,1.810731169,0.070183706,,Kansas,South Carolina
KansastoSouth Dakota,-0.16050518,0.208399351,-0.770180803,0.441193396,,Kansas,South Dakota
KansastoTennessee,0.18055626,0.196572552,0.918522239,0.35834643,,Kansas,Tennessee
KansastoTexas,0.412716856,0.083254036,4.957319514,7.15E-07,*,Kansas,Texas
KansastoUtah,0.252755876,0.270329124,0.934993139,0.349792762,,Kansas,Utah
KansastoVermont,-0.571343505,0.83207607,-0.686648163,0.492305123,,Kansas,Vermont
KansastoVirginia,0.936398073,0.182189268,5.139699418,2.75E-07,*,Kansas,Virginia
KansastoWashington,1.100749967,0.174247289,6.317171279,2.67E-10,*,Kansas,Washington
KansastoWest Virginia,0.555808227,0.304146639,1.827435044,0.067635606,,Kansas,West Virginia
KansastoWisconsin,0.014829646,0.196548536,0.075450302,0.9398565,,Kansas,Wisconsin
KansastoWyoming,0.342222132,0.277664441,1.232502549,0.217762604,,Kansas,Wyoming
KentuckytoAlabama,-0.874621793,0.116088444,-7.534098685,4.93E-14,*,Kentucky,Alabama
KentuckytoArizona,0.448119432,0.202480264,2.213151162,0.026888149,*,Kentucky,Arizona
KentuckytoArkansas,0.041546947,0.199304309,0.208459853,0.834870101,,Kentucky,Arkansas
KentuckytoCalifornia,0.6073998,0.139772864,4.345620351,1.39E-05,*,Kentucky,California
KentuckytoColorado,0.890124315,0.172316319,5.165641406,2.40E-07,*,Kentucky,Colorado
KentuckytoConnecticut,-0.187167125,0.392456229,-0.476912102,0.633425141,,Kentucky,Connecticut
KentuckytoDelaware,-1.225659101,0.679411526,-1.804001042,0.071232378,,Kentucky,Delaware
KentuckytoDistrict of Columbia,0.258929634,0.588424741,0.440038659,0.659909498,,Kentucky,District of Columbia
KentuckytoFlorida,0.304155054,0.080394998,3.783258429,0.000154826,*,Kentucky,Florida
KentuckytoGeorgia,0.133312972,0.126070063,1.057451459,0.290306645,,Kentucky,Georgia
KentuckytoIdaho,0.680497371,0.340033507,2.00126563,0.045364878,*,Kentucky,Idaho
KentuckytoIllinois,-0.286927712,0.107676676,-2.664715526,0.007705855,*,Kentucky,Illinois
KentuckytoIndiana,-0.713706598,0.070786283,-10.08255512,6.67E-24,*,Kentucky,Indiana
KentuckytoIowa,-0.077974038,0.215240852,-0.36226412,0.717154982,,Kentucky,Iowa
KentuckytoKansas,0.31702974,0.211763796,1.497091318,0.134370793,,Kentucky,Kansas
KentuckytoKentucky,-0.366535592,0.024567187,-14.91972148,2.58E-50,*,Kentucky,Kentucky
KentuckytoLouisiana,0.24080553,0.28567539,0.842934111,0.399266122,,Kentucky,Louisiana
KentuckytoMaine,0.254990831,0.339972113,0.750034551,0.45323462,,Kentucky,Maine
KentuckytoMaryland,-0.136064974,0.226841567,-0.599823814,0.548624218,,Kentucky,Maryland
KentuckytoMassachusetts,0.035646278,0.240631698,0.148136254,0.882235361,,Kentucky,Massachusetts
KentuckytoMichigan,-0.41065959,0.11721008,-3.503620082,0.000459062,*,Kentucky,Michigan
KentuckytoMinnesota,-0.157237111,0.231160874,-0.680206422,0.496374413,,Kentucky,Minnesota
KentuckytoMississippi,-0.321068356,0.166902549,-1.923687555,0.054394922,,Kentucky,Mississippi
KentuckytoMissouri,-0.169383925,0.137364315,-1.233099919,0.217539677,,Kentucky,Missouri
KentuckytoMontana,1.165990594,0.392517715,2.970542603,0.002973031,*,Kentucky,Montana
KentuckytoNebraska,0.209575519,0.285696536,0.733559888,0.463217721,,Kentucky,Nebraska
KentuckytoNevada,0.78565394,0.355149067,2.212180779,0.0269551,*,Kentucky,Nevada
KentuckytoNew Hampshire,0.573981242,0.588442321,0.975424815,0.329350547,,Kentucky,New Hampshire
KentuckytoNew Jersey,0.020986577,0.372323037,0.056366582,0.955049824,,Kentucky,New Jersey
KentuckytoNew Mexico,1.094517841,0.41626158,2.629399143,0.008554127,*,Kentucky,New Mexico
KentuckytoNew York,0.017886515,0.175962871,0.101649367,0.919035077,,Kentucky,New York
KentuckytoNorth Carolina,0.067394027,0.12470809,0.540414236,0.588911886,,Kentucky,North Carolina
KentuckytoNorth Dakota,0.351444893,0.679438826,0.517257594,0.604976821,,Kentucky,North Dakota
KentuckytoOhio,-0.689642402,0.070442144,-9.790196123,1.25E-22,*,Kentucky,Ohio
KentuckytoOklahoma,0.273993518,0.205292529,1.33464924,0.181992421,,Kentucky,Oklahoma
KentuckytoOregon,1.092265744,0.304277996,3.589696786,0.000331128,*,Kentucky,Oregon
KentuckytoPennsylvania,-0.485917786,0.146552703,-3.315652159,0.000914429,*,Kentucky,Pennsylvania
KentuckytoRhode Island,0.791349151,0.679421731,1.164739239,0.2441257,,Kentucky,Rhode Island
KentuckytoSouth Carolina,-0.058115921,0.135583919,-0.428634316,0.668189747,,Kentucky,South Carolina
KentuckytoSouth Dakota,0.781922698,0.52636367,1.485517983,0.137407956,,Kentucky,South Dakota
KentuckytoTennessee,-0.725201867,0.073893479,-9.81415242,9.88E-23,*,Kentucky,Tennessee
KentuckytoTexas,0.478847061,0.10158581,4.713719946,2.43E-06,*,Kentucky,Texas
KentuckytoUtah,0.799861984,0.326721615,2.448145291,0.014360074,*,Kentucky,Utah
KentuckytoVermont,1.27313295,0.588443197,2.163561335,0.030499,*,Kentucky,Vermont
KentuckytoVirginia,0.246045477,0.123337574,1.994894733,0.046055474,*,Kentucky,Virginia
KentuckytoWashington,1.46925626,0.251451411,5.843102068,5.13E-09,*,Kentucky,Washington
KentuckytoWest Virginia,-0.184839138,0.163622497,-1.129668234,0.258617159,,Kentucky,West Virginia
KentuckytoWisconsin,0.058993604,0.182021044,0.324103206,0.745860178,,Kentucky,Wisconsin
KentuckytoWyoming,1.026926966,0.416270339,2.466971265,0.013626811,*,Kentucky,Wyoming
LouisianatoAlabama,-0.283799068,0.139242837,-2.038159188,0.041535093,*,Louisiana,Alabama
LouisianatoArizona,0.535824985,0.202401663,2.647334886,0.008113418,*,Louisiana,Arizona
LouisianatoArkansas,-0.449273214,0.107672081,-4.172606386,3.01E-05,*,Louisiana,Arkansas
LouisianatoCalifornia,0.429290503,0.113997823,3.765778086,0.00016607,*,Louisiana,California
LouisianatoColorado,0.43745201,0.143466008,3.049168337,0.002295005,*,Louisiana,Colorado
LouisianatoConnecticut,-0.052010634,0.285793211,-0.181986946,0.855593122,,Louisiana,Connecticut
LouisianatoDelaware,-0.271733203,0.480559304,-0.565451966,0.571766908,,Louisiana,Delaware
LouisianatoDistrict of Columbia,0.273407589,0.526380915,0.519410148,0.603475228,,Louisiana,District of Columbia
LouisianatoFlorida,0.144024474,0.10491014,1.37283654,0.169804431,,Louisiana,Florida
LouisianatoGeorgia,-0.101716805,0.111500464,-0.912254544,0.361635639,,Louisiana,Georgia
LouisianatoIdaho,0.974073301,0.294576661,3.306688643,0.000944194,*,Louisiana,Idaho
LouisianatoIllinois,-0.179326125,0.152524642,-1.175719031,0.23970832,,Louisiana,Illinois
LouisianatoIndiana,0.194905439,0.215255924,0.90545912,0.365223103,,Louisiana,Indiana
LouisianatoIowa,-0.151940678,0.25123449,-0.60477635,0.545328173,,Louisiana,Iowa
LouisianatoKansas,-0.133156919,0.21523273,-0.618664823,0.536137766,,Louisiana,Kansas
LouisianatoKentucky,0.398298151,0.202234024,1.969491297,0.048897832,*,Louisiana,Kentucky
LouisianatoLouisiana,-0.218050472,0.031196187,-6.989651492,2.76E-12,*,Louisiana,Louisiana
LouisianatoMaine,0.892992974,0.416279396,2.145176975,0.031939685,*,Louisiana,Maine
LouisianatoMaryland,-0.056825881,0.208545145,-0.272487194,0.785247667,,Louisiana,Maryland
LouisianatoMassachusetts,-0.275259823,0.215415379,-1.277809523,0.201317813,,Louisiana,Massachusetts
LouisianatoMichigan,0.02470671,0.191424836,0.129067424,0.897304405,,Louisiana,Michigan
LouisianatoMinnesota,-0.17996416,0.222826892,-0.807641115,0.419297999,,Louisiana,Minnesota
LouisianatoMississippi,-0.450126677,0.086246038,-5.219099764,1.80E-07,*,Louisiana,Mississippi
